time,vehicle_id,event
2015-02-01 01:48:00+00,V20015,dropoff
2015-02-01 01:48:00+00,V17661,dropoff
2015-02-01 01:49:00+00,V20260,dropoff
2015-02-01 01:50:00+00,V15782,pickup
2015-02-01 01:51:00+00,V18487,dropoff
2015-02-01 01:51:00+00,V16235,dropoff
2015-02-01 01:51:00+00,V20929,pickup
2015-02-01 01:52:00+00,V15391,dropoff
2015-02-01 01:52:00+00,V18198,dropoff
2015-02-01 01:52:00+00,V17886,pickup
2015-02-01 01:54:00+00,V20381,dropoff
2015-02-01 01:54:00+00,V14833,pickup
2015-02-01 01:54:00+00,V21462,pickup
2015-02-01 01:55:00+00,V17886,dropoff
2015-02-01 01:55:00+00,V15713,pickup
2015-02-01 01:56:00+00,V20929,dropoff
2015-02-01 01:57:00+00,V18051,pickup
2015-02-01 01:58:00+00,V16863,dropoff
2015-02-01 01:58:00+00,V17365,pickup
2015-02-01 01:59:00+00,V15713,dropoff
2015-02-01 02:02:00+00,V21462,dropoff
2015-02-01 02:04:00+00,V19834,dropoff
2015-02-01 02:06:00+00,V14878,pickup
2015-02-01 02:07:00+00,V15230,dropoff
2015-02-01 02:07:00+00,V14769,pickup
2015-02-01 02:08:00+00,V18853,dropoff
2015-02-01 02:12:00+00,V17661,pickup
2015-02-01 02:12:00+00,V19513,pickup
2015-02-01 02:12:00+00,V17122,pickup
2015-02-01 02:13:00+00,V14833,dropoff
2015-02-01 02:13:00+00,V15586,pickup
2015-02-01 02:14:00+00,V17365,dropoff
2015-02-01 02:14:00+00,V18872,pickup
2015-02-01 02:14:00+00,V14712,pickup
2015-02-01 02:14:00+00,V17925,pickup
2015-02-01 02:15:00+00,V15782,dropoff
2015-02-01 02:15:00+00,V14769,dropoff
2015-02-01 02:16:00+00,V19794,pickup
2015-02-01 02:16:00+00,V18984,pickup
2015-02-01 02:17:00+00,V14878,dropoff
2015-02-01 02:19:00+00,V17925,dropoff
2015-02-01 02:19:00+00,V19834,pickup
2015-02-01 02:19:00+00,V18043,pickup
2015-02-01 02:21:00+00,V15586,dropoff
2015-02-01 02:21:00+00,V18299,pickup
2015-02-01 02:22:00+00,V14712,dropoff
2015-02-01 02:22:00+00,V18043,dropoff
2015-02-01 02:22:00+00,V21117,pickup
2015-02-01 02:22:00+00,V18100,pickup
2015-02-01 02:23:00+00,V17122,dropoff
2015-02-01 02:23:00+00,V18872,dropoff
2015-02-01 02:23:00+00,V20353,pickup
2015-02-01 02:24:00+00,V18984,dropoff
2015-02-01 02:25:00+00,V18100,dropoff
2015-02-01 02:25:00+00,V21554,pickup
2015-02-01 02:26:00+00,V19513,dropoff
2015-02-01 02:27:00+00,V18051,dropoff
2015-02-01 02:27:00+00,V21117,dropoff
2015-02-01 02:28:00+00,V20353,dropoff
2015-02-01 02:28:00+00,V20353,pickup
2015-02-01 02:28:00+00,V15715,pickup
2015-02-01 02:29:00+00,V18299,dropoff
2015-02-01 02:29:00+00,V15023,pickup
2015-02-01 02:32:00+00,V20353,dropoff
2015-02-01 02:32:00+00,V15715,dropoff
2015-02-01 02:33:00+00,V20191,pickup
2015-02-01 02:37:00+00,V17661,dropoff
2015-02-01 02:38:00+00,V21554,dropoff
2015-02-01 02:38:00+00,V15023,dropoff
2015-02-01 02:39:00+00,V20191,dropoff
2015-02-01 02:39:00+00,V18130,pickup
2015-02-01 02:40:00+00,V19794,dropoff
2015-02-01 02:40:00+00,V19834,dropoff
2015-02-01 02:40:00+00,V19545,pickup
2015-02-01 02:41:00+00,V19834,pickup
2015-02-01 02:41:00+00,V17968,pickup
2015-02-01 02:42:00+00,V19545,dropoff
